PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
28,0,3,"Passenger, Person 28",female,26.06292126140181,0,0,340028,4.317205457253237,,S
29,1,3,"Passenger, Person 29",male,48.95881505681134,0,2,340029,0.0,B96 B98,S
30,1,1,"Passenger, Person 30",female,37.76533513630957,1,1,PC 17030,77.53406537654007,,S
31,0,3,"Passenger, Person 31",male,36.31037269518331,0,2,340031,30.29121747923452,,C
32,1,1,"Passenger, Person 32",female,61.092534001065715,0,5,PC 17032,111.87369007931245,,S
33,1,1,"Passenger, Person 33",female,20.368985659487926,1,0,PC 17033,190.71664121732712,,S
34,0,3,"Passenger, Person 34",male,,0,0,340034,25.485743410185982,,S
35,0,3,"Passenger, Person 35",male,30.526690311007727,1,0,340035,7.66511101470109,F2,S
36,0,3,"Passenger, Person 36",male,33.594588043517234,0,0,340036,5.325426724529066,,S
37,0,2,"Passenger, Person 37",male,,0,0,340037,11.284600760931077,,C
38,0,1,"Passenger, Person 38",male,37.06361846619954,0,0,PC 17038,0.0,,S
39,0,3,"Passenger, Person 39",male,37.50529314621968,1,0,340039,14.03563256075132,,C
40,0,2,"Passenger, Person 40",male,45.25135639099213,0,0,340040,0.0,,S
41,1,1,"Passenger, Person 41",female,24.40818542162816,0,0,PC 17041,130.2804097243381,,S
42,0,3,"Passenger, Person 42",female,,3,0,340042,14.470690292907623,,C
43,1,1,"Passenger, Person 43",male,14.550266686695013,0,0,PC 17043,120.92230958659754,,S
44,0,3,"Passenger, Person 44",male,1.1878294540479737,0,0,340044,25.307179112429488,,S
45,0,2,"Passenger, Person 45",male,59.51500338413467,0,0,340045,23.244329648405095,F2,S
46,0,3,"Passenger, Person 46",male,13.703478697035594,0,0,340046,31.627289114202313,,C
47,1,2,"Passenger, Person 47",female,26.491822458006304,0,0,340047,28.74529554237873,C22 C26,Q
48,0,3,"Passenger, Person 48",male,25.68620715161065,0,0,340048,5.351604685023448,E101,S
49,0,3,"Passenger, Person 49",male,34.15739711823196,0,1,340049,11.065178536395331,,S
50,1,1,"Passenger, Person 50",male,41.5281895818198,0,0,PC 17050,0.0,,C
51,0,3,"Passenger, Person 51",male,,0,0,340051,3.7559051548061735,,S
52,1,3,"Passenger, Person 52",female,21.245377140750392,0,0,340052,9.4890395347327,,Q
53,1,3,"Passenger, Person 53",female,,0,0,340053,19.689009705134325,C22 C26,S
54,0,3,"Passenger, Person 54",male,33.797409282080345,0,1,340054,5.42602868604008,,Q
55,0,3,"Passenger, Person 55",male,26.093978670338565,0,0,340055,0.0,A10,C
56,1,3,"Passenger, Person 56",male,53.00651085228989,0,0,340056,0.0,,C
57,1,1,"Passenger, Person 57",female,36.81913679875464,0,0,PC 17057,37.62943354972119,,S
58,1,1,"Passenger, Person 58",female,,1,0,PC 17058,236.3164405846985,C22 C26,S
59,0,1,"Passenger, Person 59",male,39.311778395677486,0,0,PC 17059,105.29634872196857,,S
60,0,2,"Passenger, Person 60",male,46.71537093353721,2,0,340060,32.87453236061732,,S
61,1,2,"Passenger, Person 61",female,32.32481260120375,4,0,340061,8.95929497536476,A10,S
62,0,2,"Passenger, Person 62",male,10.895936754640225,0,0,340062,0.20515311867115837,F2,S
63,1,3,"Passenger, Person 63",female,35.495475300413304,0,0,340063,0.24814789503125723,,C
64,0,2,"Passenger, Person 64",male,20.255325040018477,0,0,340064,19.397295580950715,,S
65,1,2,"Passenger, Person 65",male,22.035058114628526,1,0,340065,0.0,C23 C25 C27,S
66,0,3,"Passenger, Person 66",male,,0,0,340066,2.6075054194925213,E101,S
67,0,1,"Passenger, Person 67",male,,0,0,PC 17067,38.4138664942391,,S
68,0,3,"Passenger, Person 68",male,30.008437862672892,0,0,340068,0.0,C23 C25 C27,S
69,1,1,"Passenger, Person 69",female,34.178078682684976,1,0,PC 17069,252.36052777854366,,S
70,0,3,"Passenger, Person 70",male,54.38211669721095,1,2,340070,16.866190680307337,,C
71,0,3,"Passenger, Person 71",male,33.19092110258424,0,0,340071,14.184585893730214,,S
72,0,1,"Passenger, Person 72",male,67.42440515561573,0,0,PC 17072,144.9143296751501,,S
73,0,1,"Passenger, Person 73",male,37.89988986165739,0,0,PC 17073,0.0,,S
74,0,3,"Passenger, Person 74",male,4.1689399922406425,0,0,340074,22.039150173522184,C22 C26,C
75,0,3,"Passenger, Person 75",male,40.62345350601572,1,0,340075,30.502346139355744,E101,S
76,1,3,"Passenger, Person 76",female,35.226796580800276,0,0,340076,16.564362054605404,C23 C25 C27,C
77,0,3,"Passenger, Person 77",male,48.40141493419981,0,0,340077,6.970700761086735,B96 B98,S
78,1,1,"Passenger, Person 78",male,39.4611295934144,0,2,PC 17078,95.46629066172103,F2,C
79,0,2,"Passenger, Person 79",male,27.692388232235277,1,0,340079,12.108763939157496,,S
80,1,1,"Passenger, Person 80",female,,1,0,PC 17080,19.85588250105738,,S
81,1,3,"Passenger, Person 81",female,26.669162769352635,0,1,340081,21.195864284536583,,S
82,1,3,"Passenger, Person 82",female,17.36745341396515,1,0,340082,12.150446482340813,B96 B98,S
83,0,2,"Passenger, Person 83",male,21.28240997783152,0,2,340083,36.326243494850374,,S
84,1,1,"Passenger, Person 84",male,38.23438686409884,0,0,PC 17084,49.64100683900154,,C
85,0,2,"Passenger, Person 85",male,53.91361531309539,0,1,340085,16.224730451289858,,S
86,1,2,"Passenger, Person 86",male,35.422737182433224,0,0,340086,13.295357061990863,B96 B98,C
87,0,3,"Passenger, Person 87",male,12.359695600489825,0,0,340087,1.357982174440743,,C
88,0,3,"Passenger, Person 88",male,36.14673868919204,2,2,340088,22.638673884782502,,S
89,0,3,"Passenger, Person 89",male,47.05115655636194,0,0,340089,37.7228283107557,,C
90,0,3,"Passenger, Person 90",male,,0,0,340090,9.475500375772329,,S
91,1,1,"Passenger, Person 91",female,27.756751083242694,0,0,PC 17091,31.07131639334952,C23 C25 C27,S
92,1,3,"Passenger, Person 92",male,29.912978823573358,0,0,340092,5.481441679222003,,Q
93,0,3,"Passenger, Person 93",male,18.31897446030752,1,0,340093,6.202934496395819,C23 C25 C27,S
94,0,3,"Passenger, Person 94",female,39.10006629073595,0,0,340094,31.82762054864882,B96 B98,S
95,1,3,"Passenger, Person 95",male,27.946251845187167,0,0,340095,5.776714282641193,,S
96,0,3,"Passenger, Person 96",female,35.7832204366519,1,0,340096,7.242065190215062,,S
97,0,3,"Passenger, Person 97",male,16.831363421869547,0,0,340097,0.03610322633930707,,Q
98,0,2,"Passenger, Person 98",male,23.35685464531055,0,0,340098,24.477434060219917,,S
99,1,1,"Passenger, Person 99",female,,0,0,PC 17099,78.90609415222303,,S
100,1,1,"Passenger, Person 100",female,24.29391929466938,0,0,PC 17100,0.0,,S
101,1,1,"Passenger, Person 101",female,54.740975842884374,8,0,PC 17101,14.509291409189801,,S
102,0,3,"Passenger, Person 102",male,23.905275308588266,1,0,340102,30.542267075891132,,S
103,0,2,"Passenger, Person 103",male,32.957928523402344,0,0,340103,21.08520083149398,,S
104,1,3,"Passenger, Person 104",male,43.222567062159804,1,0,340104,14.798539349920274,,S
105,1,3,"Passenger, Person 105",male,,0,0,340105,14.842192075286675,,S
106,1,2,"Passenger, Person 106",female,,0,1,340106,38.79013004674529,,Q
107,0,2,"Passenger, Person 107",male,7.577983438733625,0,0,340107,7.072213289830765,,S
108,1,3,"Passenger, Person 108",female,48.00746949969414,0,0,340108,9.319649278059,,C
109,0,1,"Passenger, Person 109",male,21.69805688455952,0,0,PC 17109,70.97071388032415,C22 C26,C
110,0,1,"Passenger, Person 110",male,66.79388964218965,0,1,PC 17110,0.0,,C
111,0,2,"Passenger, Person 111",male,21.518409819467866,2,2,340111,8.750160284442536,,C
112,1,1,"Passenger, Person 112",female,32.37599389635704,0,0,PC 17112,165.79063652791314,,S
113,1,3,"Passenger, Person 113",female,52.060594312234194,0,0,340113,22.04234845963129,,S
114,1,3,"Passenger, Person 114",female,,0,1,340114,23.987735626122344,C23 C25 C27,S
115,1,3,"Passenger, Person 115",female,59.591801861227765,0,0,340115,7.200007552154586,C23 C25 C27,S
116,0,3,"Passenger, Person 116",female,47.221310343600564,0,0,340116,8.557352358692798,,C
117,1,3,"Passenger, Person 117",female,44.5489066242662,0,0,340117,0.0,,S
118,0,1,"Passenger, Person 118",male,38.291640763417156,1,0,PC 17118,156.84089430067215,A10,C
119,0,3,"Passenger, Person 119",male,40.986235604416244,0,2,340119,25.743174956427055,,S
120,0,3,"Passenger, Person 120",male,21.707807113236264,0,6,340120,25.60313063189169,,Q
121,1,3,"Passenger, Person 121",female,17.836116190376543,0,0,340121,31.32500378824964,D,S
122,1,3,"Passenger, Person 122",female,29.651070367541195,0,0,340122,18.323194528388964,,S
123,0,2,"Passenger, Person 123",male,27.232322973388538,0,1,340123,40.899463875107,,S
124,1,1,"Passenger, Person 124",female,23.12819328475451,1,0,PC 17124,68.51298048568549,,C
125,1,1,"Passenger, Person 125",female,39.797617988122376,0,0,PC 17125,0.0,,S
126,0,2,"Passenger, Person 126",male,43.551925524272406,0,2,340126,31.84942080412153,,Q
127,0,3,"Passenger, Person 127",male,30.981899851231784,0,0,340127,0.0,,C
128,0,3,"Passenger, Person 128",female,51.12418617530129,0,0,340128,15.552222544427018,,C
129,0,1,"Passenger, Person 129",male,13.145507845064175,0,0,PC 17129,158.66525656569195,,S
130,0,3,"Passenger, Person 130",female,,1,1,340130,17.246846756387168,,C
131,1,2,"Passenger, Person 131",male,,0,0,340131,50.27715991756958,,C
132,1,1,"Passenger, Person 132",female,2.63521905244063,1,0,PC 17132,0.0,,S
133,0,1,"Passenger, Person 133",female,,0,0,PC 17133,77.6868675421986,B96 B98,S
134,0,2,"Passenger, Person 134",female,27.93466112844239,1,0,340134,20.886921048284528,C22 C26,S
135,1,3,"Passenger, Person 135",male,51.6450212770109,0,1,340135,370.68401910522044,,S
136,1,2,"Passenger, Person 136",female,38.846769426044276,0,0,340136,5.661473720584287,,S
137,1,3,"Passenger, Person 137",female,14.849291047226528,0,0,340137,4.383585280907399,,Q
138,1,3,"Passenger, Person 138",male,56.58434221184573,2,0,340138,1.5838797654581143,,S
139,1,2,"Passenger, Person 139",female,47.404988585117614,0,3,340139,19.256069547869718,,S
140,0,3,"Passenger, Person 140",male,38.14041670029493,0,0,340140,7.047386098326243,,Q
141,0,3,"Passenger, Person 141",male,26.415980566677437,0,2,340141,17.176992225052427,,S
142,0,2,"Passenger, Person 142",male,,1,0,340142,29.102596060639815,,C
143,0,3,"Passenger, Person 143",male,24.30300174696973,0,1,340143,20.07956855690778,,S
144,0,2,"Passenger, Person 144",male,45.48685498571069,1,1,340144,15.32835881259817,,S
145,0,2,"Passenger, Person 145",female,,0,0,340145,24.35818318303814,,S
146,0,1,"Passenger, Person 146",male,52.077031159946735,0,2,PC 17146,164.89005546178518,C22 C26,S
147,0,3,"Passenger, Person 147",female,22.611683384099024,0,0,340147,18.581210394052388,,S
148,1,3,"Passenger, Person 148",male,13.465547217309338,4,0,340148,34.12875463887762,,C
149,0,1,"Passenger, Person 149",male,31.742850580212455,0,0,PC 17149,160.75996096780167,,S
150,0,2,"Passenger, Person 150",male,4.057629199338651,2,0,340150,42.99929194443,,C
151,0,3,"Passenger, Person 151",female,34.38593185567933,0,0,340151,0.0,,S
152,0,1,"Passenger, Person 152",male,27.559762498669304,0,0,PC 17152,91.69073744893812,,S
153,1,1,"Passenger, Person 153",male,22.942470722910485,0,0,PC 17153,58.883264925726984,,S
154,1,3,"Passenger, Person 154",female,6.576805524631466,0,0,340154,12.305222966543633,,S
155,0,3,"Passenger, Person 155",male,37.14720154526089,1,0,340155,4.8254463788544655,,C
156,0,2,"Passenger, Person 156",male,21.975837824902285,3,0,340156,25.810592204994336,D,Q
157,0,3,"Passenger, Person 157",male,12.736205882200823,1,0,340157,0.0,,C
158,1,3,"Passenger, Person 158",female,,1,0,340158,18.1178054915842,,S
159,0,1,"Passenger, Person 159",male,29.301033876765775,0,0,PC 17159,23.956524825917857,C23 C25 C27,S
160,0,3,"Passenger, Person 160",female,55.39764815171129,0,0,340160,8.175753008675224,,S
161,0,2,"Passenger, Person 161",male,53.78825861094411,4,0,340161,26.36052300435459,,C
162,0,3,"Passenger, Person 162",female,23.072104279499058,0,1,340162,14.546555006529667,,S
163,1,3,"Passenger, Person 163",female,20.96792512475418,1,2,340163,25.27313002547099,E101,S
164,0,3,"Passenger, Person 164",female,36.49722671308784,1,0,340164,3.015461435694116,C23 C25 C27,S
165,1,1,"Passenger, Person 165",male,15.223411131769772,0,0,PC 17165,77.85495912706406,C23 C25 C27,S
166,0,3,"Passenger, Person 166",female,34.07598254738225,8,2,340166,23.456504287122662,,S
167,0,2,"Passenger, Person 167",male,40.808164036578006,0,1,340167,25.35559666876818,,S
168,0,1,"Passenger, Person 168",male,47.49053174632246,0,0,PC 17168,117.34635177009812,,C
169,1,1,"Passenger, Person 169",male,28.247765891040682,0,2,PC 17169,170.57734295389227,,Q
170,1,3,"Passenger, Person 170",female,26.746730622433994,0,0,340170,9.211333062435195,,S
171,1,3,"Passenger, Person 171",female,16.969252492029863,0,0,340171,6.894860351655021,C23 C25 C27,S
172,1,1,"Passenger, Person 172",female,,0,0,PC 17172,129.0705460807222,,S
173,1,3,"Passenger, Person 173",male,26.41605606742786,1,0,340173,12.036253653878017,,Q
174,0,1,"Passenger, Person 174",male,,2,0,PC 17174,171.6818782804218,,Q
175,1,3,"Passenger, Person 175",female,42.94697708038212,0,0,340175,17.747507808265617,,Q
176,1,1,"Passenger, Person 176",male,18.053905215135,0,0,PC 17176,35.52864693735959,,C
177,0,3,"Passenger, Person 177",male,51.34398424991306,2,1,340177,17.40222429492256,,S
178,0,2,"Passenger, Person 178",male,25.768707784882753,0,1,340178,8.924904365107066,,C
179,0,3,"Passenger, Person 179",male,29.390174231947675,0,0,340179,24.09621315192762,,S
180,0,1,"Passenger, Person 180",male,,0,1,PC 17180,0.0,B96 B98,S
181,0,2,"Passenger, Person 181",male,0.42,0,1,340181,36.54684856455041,,C
182,1,1,"Passenger, Person 182",male,42.51865824723522,0,1,PC 17182,109.17836787239702,,S
183,0,3,"Passenger, Person 183",male,40.384236507840285,4,0,340183,11.869829334150586,,S
184,1,3,"Passenger, Person 184",female,,0,0,340184,22.07667566027264,,S
185,0,2,"Passenger, Person 185",male,30.671365399760642,0,2,340185,27.307246374110616,,S
186,0,3,"Passenger, Person 186",male,,0,0,340186,28.314198542238667,C23 C25 C27,C
187,1,3,"Passenger, Person 187",female,7.043085075145131,0,0,340187,28.21167912188814,,S
188,0,3,"Passenger, Person 188",male,22.028736178478724,0,0,340188,17.55519488582915,B96 B98,S
189,1,3,"Passenger, Person 189",female,41.21683785451649,1,0,340189,4.0905224315426505,,S
190,1,2,"Passenger, Person 190",female,11.512803364045883,1,0,340190,13.620382994198865,,S
191,0,1,"Passenger, Person 191",male,33.95659001641612,0,0,PC 17191,78.56154290669143,E101,S
192,0,3,"Passenger, Person 192",male,10.029563832960626,1,0,340192,25.57893863834603,,S
193,0,3,"Passenger, Person 193",female,36.46323474528613,1,1,340193,8.65974892528777,B96 B98,S
194,1,3,"Passenger, Person 194",female,29.183198506686487,1,1,340194,9.577654275268499,,C
195,0,2,"Passenger, Person 195",male,6.280588669370112,0,0,340195,44.68855818047655,,Q
196,1,2,"Passenger, Person 196",male,46.58872063962898,0,2,340196,19.304119352089554,C22 C26,S
197,0,3,"Passenger, Person 197",male,19.04842213642829,0,0,340197,6.697949207067346,,S
198,1,3,"Passenger, Person 198",female,17.951339663291478,0,0,340198,22.22310631233562,,S
199,0,3,"Passenger, Person 199",male,32.60825335984867,0,0,340199,13.062522887444567,,C
200,0,3,"Passenger, Person 200",female,,0,1,340200,0.0,,S
201,0,3,"Passenger, Person 201",male,14.970583624813244,1,2,340201,25.13005491088111,,C
202,1,1,"Passenger, Person 202",male,30.594357822795587,1,0,PC 17202,25.880932985456578,,C
203,0,1,"Passenger, Person 203",male,35.91783925479331,1,1,PC 17203,87.54967667438693,,Q
204,0,3,"Passenger, Person 204",male,39.75003130531559,0,0,340204,12.93046974833908,B96 B98,Q
205,0,3,"Passenger, Person 205",male,32.258402551519765,1,0,340205,16.211112908168488,,S
206,1,1,"Passenger, Person 206",male,24.378096333291825,0,0,PC 17206,0.0,,S
207,0,1,"Passenger, Person 207",male,17.699941800593564,0,0,PC 17207,58.01224065365972,,Q
208,0,3,"Passenger, Person 208",female,30.949086304172432,0,0,340208,26.05320766127272,,S
209,0,1,"Passenger, Person 209",male,14.153984326208699,0,1,PC 17209,182.85475055154902,E101,S
210,0,1,"Passenger, Person 210",male,0.42,0,0,PC 17210,6.829350232054958,,S
211,1,3,"Passenger, Person 211",female,36.03011716028618,1,0,340211,23.806580669829973,,S
212,1,3,"Passenger, Person 212",female,42.80705519574983,0,0,340212,5.304272701318576,E101,C
213,1,3,"Passenger, Person 213",female,0.42,1,0,340213,9.560145146739883,B96 B98,S
214,1,1,"Passenger, Person 214",female,15.058904781705905,0,1,PC 17214,59.03521941617839,,S
215,0,3,"Passenger, Person 215",male,38.677736784575366,0,0,340215,14.876840806759489,D,Q
216,0,1,"Passenger, Person 216",male,59.53368431081963,0,0,PC 17216,162.25658359068728,,C
217,0,2,"Passenger, Person 217",female,,0,1,340217,24.099598968378444,,S
218,0,3,"Passenger, Person 218",female,19.14395735217755,0,0,340218,12.292550636437708,,S
219,0,3,"Passenger, Person 219",male,27.048001603979817,0,0,340219,24.320423563420366,,S
220,1,3,"Passenger, Person 220",female,49.63570807764868,0,0,340220,4.85072470742914,B96 B98,S
221,0,3,"Passenger, Person 221",male,20.333519402694236,0,0,340221,12.830608121852555,F2,S
222,0,3,"Passenger, Person 222",male,18.111715903571323,0,0,340222,24.633593512152814,,S
223,1,1,"Passenger, Person 223",male,22.700218928360528,1,0,PC 17223,125.4358845196647,,S
224,0,2,"Passenger, Person 224",male,15.87673518024867,0,1,340224,14.598048293216136,,S
225,1,2,"Passenger, Person 225",male,,1,1,340225,0.9915620341965232,,S
226,1,2,"Passenger, Person 226",male,,0,0,340226,24.701156480332546,,S
227,0,3,"Passenger, Person 227",female,,2,0,340227,0.0,,S
228,0,2,"Passenger, Person 228",male,,1,1,340228,17.897482259014854,,C
229,0,3,"Passenger, Person 229",male,,0,0,340229,26.648432391603343,,S
230,1,3,"Passenger, Person 230",female,7.033733273898472,0,0,340230,20.244345109320342,,S
231,1,3,"Passenger, Person 231",female,42.505091768633804,1,0,340231,0.0,,S
232,1,3,"Passenger, Person 232",female,28.57136064331437,0,1,340232,356.71771686556536,,Q
233,1,3,"Passenger, Person 233",female,27.083041252935928,0,0,340233,10.169130939371462,,S
234,0,3,"Passenger, Person 234",female,76.00005973375048,0,0,340234,0.0,,S
235,0,1,"Passenger, Person 235",male,34.03191717130245,1,0,PC 17235,110.28166107256399,,S
236,0,3,"Passenger, Person 236",male,,1,1,340236,8.270883663302001,,C
237,0,2,"Passenger, Person 237",male,23.517814855019623,0,0,340237,14.34805749768653,D,S
238,0,1,"Passenger, Person 238",male,,0,2,PC 17238,93.82551923728418,,S
239,0,3,"Passenger, Person 239",male,31.342420952797585,0,0,340239,6.795270160083669,,S
240,1,1,"Passenger, Person 240",female,8.844969314398183,0,0,PC 17240,91.61739504159195,,S
241,0,3,"Passenger, Person 241",male,43.02881955134045,5,0,340241,7.153426214070724,,C
242,0,3,"Passenger, Person 242",male,20.011910759684586,0,0,340242,7.756923933152038,,C
243,0,3,"Passenger, Person 243",male,56.86281775515441,0,2,340243,24.60222746225081,,S
244,0,2,"Passenger, Person 244",female,,0,0,340244,34.8907312729436,,S
245,0,1,"Passenger, Person 245",male,23.21383251294811,1,1,PC 17245,0.0,,S
246,1,3,"Passenger, Person 246",female,48.27473724515913,0,0,340246,21.897801282312077,,S
247,0,2,"Passenger, Person 247",male,30.68390490264735,0,0,340247,38.841683060139374,,S
248,0,3,"Passenger, Person 248",male,42.06521828927219,0,0,340248,30.81114499143934,,S
249,0,3,"Passenger, Person 249",male,,0,0,340249,19.404176984736306,,S
250,0,3,"Passenger, Person 250",female,17.427828502632334,0,3,340250,2.0486235648171283,,S
251,0,2,"Passenger, Person 251",male,20.368527431396803,0,0,340251,28.84975092451795,,Q
252,0,2,"Passenger, Person 252",female,44.63443185492684,0,0,340252,9.359719382193084,,C
253,0,3,"Passenger, Person 253",male,24.845757684455158,2,0,340253,9.907383172276804,,Q
254,0,2,"Passenger, Person 254",male,23.847097282991047,1,0,340254,25.640068041582644,F2,S
255,1,1,"Passenger, Person 255",female,,5,0,PC 17255,21.37877096373835,,Q
256,1,3,"Passenger, Person 256",female,35.842186451105185,0,1,340256,1.0695966261043668,,S
257,1,3,"Passenger, Person 257",female,,4,0,340257,18.803506503399056,,S
258,1,3,"Passenger, Person 258",female,14.220772743313043,0,0,340258,34.21946624743546,,C
259,1,3,"Passenger, Person 259",female,30.05118212175499,0,0,340259,27.355577635274102,,S
260,1,1,"Passenger, Person 260",female,50.177198053523725,0,4,PC 17260,139.3105224339074,,S
261,1,3,"Passenger, Person 261",female,28.54519982693713,0,0,340261,24.451039791487066,,S
262,0,3,"Passenger, Person 262",female,36.25939104562114,1,0,340262,20.694914469001077,A10,S
263,1,1,"Passenger, Person 263",female,,0,0,PC 17263,119.24221789393265,,S
264,0,3,"Passenger, Person 264",male,,0,0,340264,23.564796235585117,,S
265,1,3,"Passenger, Person 265",female,26.98640815743404,0,0,340265,0.0,,C
266,0,3,"Passenger, Person 266",male,43.99308493735801,0,0,340266,15.874338293872045,,S
267,0,3,"Passenger, Person 267",female,46.917097747688885,0,1,340267,12.789569731317723,,S
268,1,3,"Passenger, Person 268",female,67.24867280926989,0,0,340268,14.5479311425902,E101,S
269,0,2,"Passenger, Person 269",male,38.104681011596846,1,1,340269,14.662161208291735,,S
270,1,2,"Passenger, Person 270",female,34.424046590441414,1,0,340270,27.42634198206502,,Q
271,0,3,"Passenger, Person 271",male,32.51857237287137,0,0,340271,4.682791893436322,C23 C25 C27,S
272,0,3,"Passenger, Person 272",male,24.579088754245017,0,0,340272,7.807595776687622,F2,S
273,0,3,"Passenger, Person 273",female,34.60801573019452,0,0,340273,6.487320949826894,,S
274,0,3,"Passenger, Person 274",male,25.41667955298407,1,0,340274,23.18341300996856,,S
275,0,3,"Passenger, Person 275",female,32.14268415590941,0,0,340275,13.551041464698873,,S
276,0,3,"Passenger, Person 276",female,48.805164266315415,0,0,340276,8.61084426223561,,S
277,0,3,"Passenger, Person 277",male,15.105132803445203,0,0,340277,9.572273354822014,C23 C25 C27,S
278,0,3,"Passenger, Person 278",male,,0,6,340278,13.722686783484477,,S
279,0,3,"Passenger, Person 279",male,48.798168476428046,0,0,340279,31.52392410756839,,S
280,0,3,"Passenger, Person 280",male,27.988006358629356,1,2,340280,0.0782763001866087,,S
281,1,3,"Passenger, Person 281",female,,0,0,340281,21.11060997447764,,C
282,1,2,"Passenger, Person 282",male,20.88658118713073,0,0,340282,26.794210394403102,,S
283,0,2,"Passenger, Person 283",male,48.506420925136084,1,0,340283,9.181449820191915,,C
284,0,1,"Passenger, Person 284",male,29.36841309666621,1,0,PC 17284,198.56611663206553,,S
285,0,3,"Passenger, Person 285",male,15.210117631723794,0,0,340285,19.612084959687436,,S
286,1,1,"Passenger, Person 286",female,22.380763642190846,0,0,PC 17286,44.54680234807899,C22 C26,S
287,1,3,"Passenger, Person 287",male,,0,2,340287,0.0,,S
288,1,3,"Passenger, Person 288",female,,2,1,340288,16.20061517949024,,S
289,0,2,"Passenger, Person 289",male,26.235484562039428,0,0,340289,20.078307398172218,B96 B98,S
290,1,3,"Passenger, Person 290",female,,2,0,340290,2.3421577560726887,C23 C25 C27,S
291,1,1,"Passenger, Person 291",male,24.019506838864583,1,0,PC 17291,2.748076009420333,,S
292,0,1,"Passenger, Person 292",male,16.32505232477171,0,0,PC 17292,151.89376963532138,,S
293,0,3,"Passenger, Person 293",female,,0,0,340293,0.0,,S
294,0,2,"Passenger, Person 294",male,,0,2,340294,24.745675815949472,C22 C26,S
295,1,1,"Passenger, Person 295",female,47.3487985519697,0,0,PC 17295,69.5299159257528,C23 C25 C27,S
296,1,3,"Passenger, Person 296",female,51.75908275287554,0,0,340296,19.148703111887833,,S
297,0,3,"Passenger, Person 297",male,,0,0,340297,10.442644891537785,,S
298,0,1,"Passenger, Person 298",male,,4,0,PC 17298,107.02544729030454,,C
299,1,3,"Passenger, Person 299",female,35.55408630988084,0,0,340299,5.509476710184198,,C
300,0,1,"Passenger, Person 300",male,,1,0,PC 17300,80.31201653847727,,S
301,0,1,"Passenger, Person 301",male,16.59632301941314,0,0,PC 17301,122.29854249575793,,S
302,0,3,"Passenger, Person 302",male,34.40320958496324,0,0,340302,15.339590584030171,,S
303,0,3,"Passenger, Person 303",male,12.603923028182862,0,0,340303,17.863375266416988,,C
304,0,3,"Passenger, Person 304",male,46.92135113269267,0,5,340304,3.472865706031885,A10,S
305,1,3,"Passenger, Person 305",female,22.9630491891733,2,0,340305,7.1825798192666275,,S
306,1,3,"Passenger, Person 306",female,32.61681501015617,0,0,340306,7.3732617686246025,,C
307,1,3,"Passenger, Person 307",female,,0,0,340307,10.638612688545718,,S
